Time,Value
0.298,0.0627903
0.299,0.0314109
0.3,-3.74507e-07
0.301,-0.0314107
0.302,-0.0627901
0.303,-0.0941084
0.304,-0.125333
0.305,-0.156435
0.306,-0.187381
0.307,-0.218144
0.308,-0.24869
0.309,-0.278991
0.31,-0.309017
0.311,-0.338738
0.312,-0.368125
0.313,-0.397148
0.314,-0.42578
0.315,-0.45399
0.316,-0.481754
0.317,-0.509041
0.318,-0.535827
0.319,-0.562084
0.32,-0.587785
0.321,-0.612907
0.322,-0.637424
0.323,-0.661312
0.324,-0.684547
0.325,-0.707107
0.326,-0.728969
0.327,-0.750111
0.328,-0.770513
0.329,-0.790155
0.33,-0.809017
0.331,-0.827081
0.332,-0.844328
0.333,-0.860742
0.334,-0.876307
0.335,-0.891007
0.336,-0.904827
0.337,-0.917755
0.338,-0.929776
0.339,-0.940881
0.34,-0.951057
0.341,-0.960294
0.342,-0.968583
0.343,-0.975917
0.344,-0.982287
0.345,-0.987688
0.346,-0.992115
0.347,-0.995562
0.348,-0.998027
0.349,-0.999507
0.35,-1
0.351,-0.999507
0.352,-0.998027
0.353,-0.995562
0.354,-0.992115
0.355,-0.987688
0.356,-0.982287
0.357,-0.975917
0.358,-0.968583
0.359,-0.960294
0.36,-0.951056
0.361,-0.940881
0.362,-0.929777
0.363,-0.917755
0.364,-0.904827
0.365,-0.891006
0.366,-0.876307
0.367,-0.860742
0.368,-0.844328
0.369,-0.827081
0.37,-0.809017
0.371,-0.790155
0.372,-0.770513
0.373,-0.750111
0.374,-0.728968
0.375,-0.707107
0.376,-0.684547
0.377,-0.661312
0.378,-0.637424
0.379,-0.612907
0.38,-0.587785
0.381,-0.562083
0.382,-0.535827
0.383,-0.509042
0.384,-0.481754
0.385,-0.453991
0.386,-0.425779
0.387,-0.397148
0.388,-0.368124
0.389,-0.338738
0.39,-0.309017
0.391,-0.278991
0.392,-0.24869
0.393,-0.218143
0.394,-0.187382
0.395,-0.156434
0.396,-0.125333
0.397,-0.0941079
0.398,-0.0627905
0.399,-0.0314111
0.4,1.87254e-07
0.401,0.0314105
0.402,0.0627908
0.403,0.0941082
0.404,0.125334
0.405,0.156435
0.406,0.187381
0.407,0.218143
0.408,0.24869
0.409,0.278991
0.41,0.309017
0.411,0.338738
0.412,0.368125
0.413,0.397148
0.414,0.425779
0.415,0.45399
0.416,0.481754
0.417,0.509041
0.418,0.535827
0.419,0.562083
0.42,0.587785
0.421,0.612907
0.422,0.637424
0.423,0.661312
0.424,0.684547
0.425,0.707107
0.426,0.728969
0.427,0.750111
0.428,0.770513
0.429,0.790155
0.43,0.809017
0.431,0.82708
0.432,0.844328
0.433,0.860742
0.434,0.876306
0.435,0.891007
0.436,0.904827
0.437,0.917755
0.438,0.929776
0.439,0.940881
0.44,0.951056
0.441,0.960294
0.442,0.968583
0.443,0.975917
0.444,0.982287
0.445,0.987688
0.446,0.992115
0.447,0.995562
0.448,0.998027
0.449,0.999507
0.45,1
0.451,0.999507
0.452,0.998027
0.453,0.995562
0.454,0.992115
0.455,0.987688
0.456,0.982287
0.457,0.975917
0.458,0.968583
0.459,0.960294
0.46,0.951056
0.461,0.940881
0.462,0.929776
0.463,0.917755
0.464,0.904827
0.465,0.891006
0.466,0.876307
0.467,0.860742
0.468,0.844328
0.469,0.82708
0.47,0.809017
0.471,0.790155
0.472,0.770513
0.473,0.750111
0.474,0.728969
0.475,0.707107
0.476,0.684547
0.477,0.661312
0.478,0.637424
0.479,0.612907
0.48,0.587786
0.481,0.562083
0.482,0.535827
0.483,0.509041
0.484,0.481754
0.485,0.45399
0.486,0.425779
0.487,0.397148
0.488,0.368124
0.489,0.338738
0.49,0.309017
0.491,0.278991
0.492,0.248689
0.493,0.218143
0.494,0.187382
0.495,0.156434
0.496,0.125333
0.497,0.094108
0.498,0.0627906
0.499,0.0314104
0.5,6.12303e-16
0.501,-0.0314104
0.502,-0.0627897
0.503,-0.094109
0.504,-0.125333
0.505,-0.156434
0.506,-0.187381
0.507,-0.218144
0.508,-0.24869
0.509,-0.278991
0.51,-0.309017
0.511,-0.338737
0.512,-0.368125
0.513,-0.397148
0.514,-0.425779
0.515,-0.45399
0.516,-0.481753
0.517,-0.509042
0.518,-0.535827
0.519,-0.562083
0.52,-0.587785
